City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
598,Labuhan,ID,79.5,overcast clouds,-6.8844,112.2051,DoubleFAG
604,Punta Gorda,US,86.0,scattered clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
610,Sabha,LY,85.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
616,Bowen,AU,75.42,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
618,Hirara,JP,77.02,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
622,Vila Do Maio,CV,84.99,few clouds,15.1333,-23.2167,Hotel Marilu
624,Gazli,UZ,77.72,overcast clouds,40.1333,63.45,
627,Grand Baie,MU,75.67,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
636,Raga,SS,88.56,broken clouds,8.4596,25.678,
639,Kudahuvadhoo,MV,84.81,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
641,Guamuchil,MX,80.67,clear sky,25.4667,-108.1,Hotel Heredia
642,Jaguaribe,BR,88.23,overcast clouds,-5.8906,-38.6219,Hotel Pinheiro
645,Shenzhen,CN,78.85,clear sky,22.5455,114.0683,Grand Skylight
647,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
650,Coruripe,BR,85.32,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
651,Parkersburg,US,83.52,clear sky,39.2667,-81.5615,The Blennerhassett Hotel
652,Pemangkat,ID,80.73,overcast clouds,1.1667,108.9667,Ramah Kost KITA
657,Oron,NG,83.1,broken clouds,4.8256,8.2343,Aqua Belloni Lodge
658,Hobbs,US,76.19,clear sky,32.7026,-103.136,Best Western Executive Inn
659,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
660,Jardim,BR,86.88,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
673,Aketi,CD,75.63,light rain,2.7388,23.7833,
676,Kisangani,CD,77.41,light rain,0.5167,25.2,Grand Ramela Hotel
679,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
683,Harlingen,US,85.96,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
685,Srivardhan,IN,85.69,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
688,Muncar,ID,77.61,overcast clouds,-8.4333,114.3333,Zaky Homestay
689,Ternate,ID,79.99,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
690,Malakal,SS,89.2,broken clouds,9.5334,31.6605,Nile Palace Hotel
