City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Mandurah,AU,-32.55,115.7,62.91,51,45,13.53,scattered clouds
243,Te Anau,NZ,-45.4167,167.7167,51.06,91,100,4.36,overcast clouds
244,Mayskiy,RU,47.6931,40.1025,58.41,63,37,4.61,scattered clouds
245,Copiapo,CL,-27.3667,-70.3333,60.49,36,0,5.95,clear sky
246,Muroto,JP,33.2833,134.15,62.15,88,100,4.9,light rain
247,Sambava,MG,-14.2667,50.1667,77.29,86,85,8.1,light rain
248,Lebedinyy,RU,58.5167,125.5167,14.32,81,38,4.41,scattered clouds
249,Conceicao Da Barra,BR,-18.5933,-39.7322,86.59,61,3,10.67,clear sky
250,Gomel,BY,52.4345,30.9754,51.78,76,100,15.66,overcast clouds
251,Namatanai,PG,-3.6667,152.4333,79.34,80,91,7.9,overcast clouds
252,Sibu,MY,2.3,111.8167,75.07,98,44,0.6,light rain
253,Silvia,CO,2.611,-76.3785,63.68,72,57,3.53,broken clouds
254,Alta Floresta,BR,-9.8756,-56.0861,86.47,61,47,1.68,scattered clouds
255,Mayo,US,38.8876,-76.5119,73.51,51,100,10.36,overcast clouds
256,Kyakhta,RU,50.3508,106.4494,30.11,61,87,6.62,overcast clouds
257,Muli,MV,2.9167,73.5667,85.05,71,99,10.36,overcast clouds
258,Altay,CN,47.8667,88.1167,37.74,88,100,1.79,overcast clouds
259,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.43,48,80,6.98,broken clouds
260,Bambanglipuro,ID,-7.95,110.2833,78.42,89,99,2.86,overcast clouds
261,Tamale,GH,9.4008,-0.8393,101.71,23,98,1.92,overcast clouds
262,Pitimbu,BR,-7.4706,-34.8086,84.79,72,83,12.88,broken clouds
263,Nikolskoye,RU,59.7035,30.7861,46.29,74,100,9.48,overcast clouds
264,Richards Bay,ZA,-28.783,32.0377,69.66,90,36,4.29,scattered clouds
265,Saquarema,BR,-22.92,-42.5103,93.24,51,0,7.81,clear sky
